CustomerID,CustomerName,Email,Phone,City,State,Country
1,Timothy Clark,anthonywilliam@berg.com,+1-387-530-1218,New Markville,Nevada,Liechtenstein
2,Victoria Anderson,jeffreyjohnson@gmail.com,(476)946-6983x841,Lake Benjaminfurt,Minnesota,Timor-Leste
3,Richard Stokes,lopezlisa@harris-smith.org,+1-581-904-3525,Lake Susan,Washington,United Arab Emirates
4,Anthony Knapp,timothy97@yahoo.com,(823)255-1037x6911,East Patrickshire,Rhode Island,Nauru
5,Yvonne Pacheco,ldiaz@hotmail.com,+1-153-392-1329,Laurieland,Louisiana,Cambodia
6,Kevin Santos,moralesmaria@weaver.org,8525971892,Port Danielburgh,Michigan,Qatar
7,Melissa Dodson,daniel62@yahoo.com,620.668.6898x8512,Scottberg,New Jersey,Chile
8,Alicia Jensen,christopherhess@gmail.com,430.230.4339x2407,Lake William,Michigan,Costa Rica
9,John Rice,mcdonaldjennifer@gmail.com,(346)481-8005x0970,South Michellehaven,Utah,Guam
10,Jeffrey Reed,fernandezwilliam@yahoo.com,(619)596-4146x4503,North Richardfurt,Wisconsin,Tuvalu
11,Daniel James,julie77@stone-johnson.com,(005)145-7483x5729,New Nicholaschester,Michigan,Libyan Arab Jamahiriya
12,Jamie Garcia,cbeck@hudson-gonzalez.com,9956795290,Hernandezside,Illinois,Andorra
13,Mr. Andrew Lynch,laura75@yahoo.com,378.251.7451,East Natashatown,New Hampshire,Norway
14,Kimberly Montgomery,bradley76@gmail.com,(007)184-8387,Port Matthewview,Nebraska,Turkey
15,Kaitlyn Ross,ashleynichols@yahoo.com,8557792376,Robertsfurt,California,Antigua and Barbuda
16,Andrew Johnson,melendezjessica@simon-james.com,6481574129,North Jennifer,California,Burkina Faso
17,Sean Russell III,yolandawoods@gmail.com,4305400539,Lake Sharonland,South Carolina,Lesotho
18,Matthew Scott,barryford@guzman.net,(691)969-4884x6399,Rhodesland,Ohio,United States of America
19,Lindsay Graham,llowe@hotmail.com,371.415.5621,Julieside,Connecticut,Isle of Man
